ከተዋናዮች መካከል ብዙ ፊልም በመስራት ዳንኤል ተገኘ የሚበልጥው ማነው	answer ( C , ፊልም ( ዳንኤል_ተገኘ , A ) , ተዋናይ ( C ) , ፊልም ( C , B ) , ይበልጣል ( count ( A ) , count ( B ) ) )
ረቂቅ ተሾመ የተወነባቸው ፊልሞችን ጥቀስ	answer ( A , ተዋናይ ( ረቂቅ_ተሾመ ) , ፊልም ( ረቂቅ_ተሾመ , A ) )
በሶማሌ ክልል ከሚገኙት ሀይቆች መካከል በስፋት ትንሹ ሀይቅ ጥልቀቱ ስንት ነው	answer ( A , argmin ( ( ሀይቅ ( C ), መገኛ_ክልል ( C , ሶማሌ_ክልል ) , ስፋት ( C , B ) , ጥልቀት ( C , A ) ) , B ) )
ብራዘርሊ ሮማንቲክ ፊልም አይነት ነው	answer ( ? , ፊልም ( A ) , ፊልም_አይነት ( ብራዘርሊ , ሮማንቲክ ) )
የኢትዮጵያ የሴቶች ብሄራዊ ቡድን መሀከል ተከላካይ ስንት ናቸው	answer ( count ( A ) , ተጨዋች ( ኢትዮጵያ_ሴቶች_ብሄራዊ_ቡድን , A ) , ጨዋታ_ቦታ ( A , መሀከል_ተከላካይ ) )
ከእለታተ የሚለውን ፊልም የደረሰው ማነው	answer ( A , ደራሲ ( A ) , ፊልም ( A , ከእለታተ ) )
የትውልድ ቦታ አዳ ወረዳ የሆኑትን ለኢትዮጵያ ብሄራዊ እግርኳስ ቡድን የሚጫወቱትን ጥቀስልኝ	answer ( A , ተጨዋች ( ኢትዮጵያ_ብሄራዊ_ቡድን , A ) , ትውልድ_ቦታ ( A , አዳ_ወረዳ ) )
ድላ ከተማ ስፖርት ክለብ የተመሰረተበት ቦታ የህዝብ ብዛት ስንት ነው	answer ( A , ምስረታ_ቦታ ( ድላ_ከተማ_ክለብ , B ) , ህዝብ_ብዛት ( B , A ) )
ክላስሜት የሚለው ፊልም ላይ ስንት ተዋናዮች ተሳትፈዋል	answer ( count ( A ) , ተዋናይ ( A ) , ፊልም ( A , ክላስሜት ) )
ንጹህ ሃይሌ የተወነባቸው ፊልሞችን ጥቀስ	answer ( A , ተዋናይ ( ንጹህ_ሃይሌ ) , ፊልም ( ንጹህ_ሃይሌ , A ) )
በቤንሻንጉል ጉሙዝ ክልል የሚገኘው ረዝሙ ተራራ ማነው	answer ( A , argmax ( ( ተራራ ( A ), መገኛ_ክልል ( A , ቤንሻንጉል_ጉሙዝ_ክልል ) , ከፍታ ( A , B ) ) , B ) )
ሃገሬ የሚለውን አልበም አብዱ ኪያር ነው የተጫወተው	answer ( ? , ዘፋኝ ( አብዱ_ኪያር ) , አልበም_ስም ( አብዱ_ኪያር , ሃገሬ ) )
የሳያት ደምሴ የሙዚቃ ስልት ምን ተብሎ ይጠራል	answer ( A , ሙዚቃ_ስልት ( ሳያት_ደምሴ , A ) )
ኢህአዴግን እከሳለሁን የጻፈው ስብሐት ገብረ እግዚአብሔር ነው	answer ( ? , ደራሲ ( ስብሐት_ገብረእግዚአብሔር ) , ድርሰት ( ስብሐት_ገብረእግዚአብሔር , ኢህአዴግን_እከሳለሁ ) )
ደበበ እሸቱ የሚታወቁባቸው የስዕል ስራወች ዘርዝር	answer ( A , ሰአሊ ( ደበበ_እሸቱ ) , ስእል_ስራ ( ደበበ_እሸቱ , A ) )
የሜሪ አርምዴ ባለቤት ማን ትባላለች	answer ( A , ዘፋኝ ( ሜሪ_አርምዴ ) , ባለቤት ( ሜሪ_አርምዴ , A ) )
ላላገኛት ሮማንቲክ ፊልም አይነት ነው	answer ( ? , ፊልም ( A ) , ፊልም_አይነት ( ላላገኛት , ሮማንቲክ ) )
የጀግና ልጅ የሚለው ፊልም ላይ የተወኑት እነማናቸው	answer ( A , ተዋናይ ( A ) , ፊልም ( A , የጀግና_ልጅ ) )
በ1960 6ኛ ደረጃ የወጣው እግርኳስ ቡድን ማነው	answer ( A , ደረጃ_1960 ( A , 6ኛ ) , ፉትቦል_ክለብ ( A ) )
ጅማ አባ ጅፋር ስፖርት ክለብ በ1989 8ኛ ነው የወጣው	answer ( ? , ደረጃ_1989 ( ጅማ_አባ_ጅፋር_ክለብ , 8ኛ ) )
በአልበም ብዛት ታምራት ደስታ ከአብነት አጎናፍር ይበልጣል	answer ( ? , አልበም_ስም ( ታምራት_ደስታ , A ) , አልበም_ስም ( አብነት_አጎናፍር , B ) , ይበልጣል ( count ( A ) , count ( B ) ) )
አለምሰገድ ተሰፋየ የተወነባቸው ፊልሞችን ጥቀስ	answer ( A , ተዋናይ ( አለምሰገድ_ተሰፋየ ) , ፊልም ( አለምሰገድ_ተሰፋየ , A ) )
ሲያምረኝ ተሾመ የተወነባቸው ፊልሞችን ጥቀስ	answer ( A , ተዋናይ ( ሲያምረኝ_ተሾመ ) , ፊልም ( ሲያምረኝ_ተሾመ , A ) )
መከላከያ ዋንጫ በልቶ ያውቃል	answer ( ? , ዋንጫ_ብዛት ( መከላከያ , A ) )
መቻል የቅዱስ ጊዮርጊስ እግርኳስ ክለብ ቅጽል ስም ነው	answer ( ? , ቅጽል_ስም ( ቅዱስ_ጊዮርጊስ , መቻል ) , ፉትቦል_ክለብ ( ቅዱስ_ጊዮርጊስ ) )
ልዋጭ የሚለውን ፊልም ዳይሬክት ያደረገው ማነው	answer ( A , ዳይሬክተር ( A ) , ፊልም ( A , ልዋጭ ) )
የገብሩ ደስታ ጂጂ የሚለው አልበም በውስጡ የያዛቸውን አርስቶች ጥቀስ	answer ( A , አልበም_ስም ( ገብሩ_ደስታ , ጂጂ ), አርዕስት ( ጂጂ , A ) )
ጳውሎስ ኞኞ ደራሲም ጋዜጠኛም ናቸው	answer ( ? , ደራሲ ( ጳውሎስ_ኞኞ ) , ጋዜጠኛ ( ጳውሎስ_ኞኞ ) )
የባህርዳር ከነማ ስፖርት ክለብ ማነው	answer ( A , B , B ( ባህርዳር_ከነማ_ክለብ , A ) )
ደራሲ ዳኛቸው ወርቁ የሚታወቁባቸውን የግጥም መጸሃፍቶችን ዘርዝር	answer ( A , ደራሲ ( ዳኛቸው_ወርቁ ) , ድርሰት ( ዳኛቸው_ወርቁ , A ) , መጸሃፍ_አይነት ( A , ግጥም_መጸሃፍ ) )
የአበበች ደራራ ባለቤት ማን ትባላለች	answer ( A , ዘፋኝ ( አበበች_ደራራ ) , ባለቤት ( አበበች_ደራራ , A ) )
የሰው ሰው የሚለው ፊልም በ2009 ነው የተለቀቀው	answer ( ? , ፊልም ( የሰው_ሰው ) , የተለቀቀበት_ጊዜ ( የሰው_ሰው , 2009 ) )
ስዩም ከበደ የአዳማ ከነማ እግርኳስ ክለብ አምበል ነው	answer ( ? , አምበል ( አዳማ_ከነማ_ክለብ , ስዩም_ከበደ ) )
በአልበም ብዛት ታምራት ደስታ ከሙሉቀን መለሰ ይበልጣል	answer ( ? , አልበም_ስም ( ታምራት_ደስታ , A ) , አልበም_ስም ( ሙሉቀን_መለሰ , B ) , ይበልጣል ( count ( A ) , count ( B ) ) )
ኩርቢት አጭር ልብወለድ ድርሰት መቸ ታተመ	answer ( A , መጸሃፍ_አይነት ( ኅሊና_ደወል , አጭር_ልብወለድ ) , የታተመባት_ጊዜ ( ኅሊና_ደወል , A ) )
ሀገር ስጭኝ የሚለው ፊልም ላይ ስንት ተዋናዮች ተሳትፈዋል	answer ( count ( A ) , ተዋናይ ( A ) , ፊልም ( A , ሀገር_ስጭኝ ) )
ክፉ አልምደሽ የሚለውን ፊልም ዳይሬክት ያደረገው ማነው	answer ( A , ዳይሬክተር ( A ) , ፊልም ( A , ክፉ_አልምደሽ ) )
ይድነቃቸው ተሰማ የአዳማ ከነማ እግርኳስ ክለብ ቅጽል ስም ነው	answer ( ? , ቅጽል_ስም ( አዳማ_ከነማ , ይድነቃቸው_ተሰማ ) , ፉትቦል_ክለብ ( አዳማ_ከነማ ) )
ጊዜ ሚዛን የሚለው ፊልም ላይ የተወኑት እነማናቸው	answer ( A , ተዋናይ ( A ) , ፊልም ( A , ጊዜ_ሚዛን ) )
እንሳሮ የሚለው ፊልም መቸ ነው የተለቀቀው	answer ( A , ፊልም ( እንሳሮ ) , የተለቀቀበት_ጊዜ ( እንሳሮ , A ) )
በትግራይ ክልል የሚገኘው ረዝሙ ተራራ ማነው	answer ( A , argmax ( ( ተራራ ( A ), መገኛ_ክልል ( A , ትግራይ_ክልል ) , ከፍታ ( A , B ) ) , B ) )
አብነት አጎናፍር ባጠቃላይ ስንት አልበሞችን ለቋል	answer ( count ( A ) , አልበም_ስም ( አብነት_አጎናፍር , A ) )
የኩኩ ሰብስቤ ዘፋኝ እህት ማን ትባላለች	answer ( A , ዘፋኝ ( A ) , እህት ( ኩኩ_ሰብስቤ , A ) )
ጅጅጋ ከባህር ወለል በላይ ከፍታው ስንት ነው	answer ( A , ባህር_ወለል_ከፍታ ( ጅጅጋ , A ) )
ጸሃፊ ተክለ ሐዋርያት ተክለ ማርያም መቸ ሞቱ	answer ( A , ደራሲ ( ተክለ_ሐዋርያት_ተክለ_ማርያም ) , የሞተበት_ጊዜ ( ተክለ_ሐዋርያት_ተክለ_ማርያም , A ) )
ህይወት በደረጃ የሚለውን ፊልም ዳይሬክት ያደረገው ማነው	answer ( A , ዳይሬክተር ( A ) , ፊልም ( A , ህይወት_በደረጃ ) )
አፋር ክልል ውስጥ ሶማሌኛ ይነገራል	answer ( ? , የሚነገር_ቋንቋ ( ጋምቤላ_ክልል , ሶማሌኛ ) )
የብርሃን ፈለጎች የሚባለው ትርጉም መጸሃፍ የት ነው የታተመው	answer ( A , መጸሃፍ_አይነት ( የብርሃን_ፈለጎች , ትርጉም_መጸሃፍ ) , ማተሚያ_ቦታ ( የብርሃን_ፈለጎች , A ) )
ደስ የሚል ስቃይ የሚለውን ፊልም ፕሮድዩስ ያደረገው ማነው	answer ( A , ፕሮድዩሰር ( A ) , ፊልም ( A , ደስ_የሚል_ስቃይ ) )
ዋሻው የሚለውን ፊልም ፕሮድዩስ ያደረገው ማነው	answer ( A , ፕሮድዩሰር ( A ) , ፊልም ( A , ዋሻው ) )
ሙዚቀኛው አሰፋ አባተ የት ነው የተወለደው	answer ( A , ዘፋኝ ( አሰፋ_አባተ ) , የተወለደበት_ክልል ( A , አማራ_ክልል ) )
ፍቅር ምናገባው በሃኖስ ፊልም ፕሮዳክሽን ነው የተዘጋጀው	answer ( ? , ፊልም ( ፍቅር_ምናገባው ) , ፕሮዳክሽን ( ፍቅር_ምናገባው , ሃኖስ_ፊልም_ፕሮዳክሽን ) )
አብዱ ኪያር ከዘፈን በተጨማሪ ምን ምን ስራዎችን ይሰራል	answer ( A , ዘፋኝ ( አብዱ_ኪያር ) , ባለሙያ ( አብዱ_ኪያር , A ) )
ጋምቤላ ክልል ውስጥ የሚነገሩ ቋንቋዎችን ስንት ናቸው	answer ( count ( A ) , የሚነገር_ቋንቋ ( ጋምቤላ_ክልል , A ) )
ሁለት ፊርማ የሚለው ፊልም መቸ ነው የተለቀቀው	answer ( A , ፊልም ( ሁለት_ፊርማ ) , የተለቀቀበት_ጊዜ ( ሁለት_ፊርማ , A ) )
የፍቅርአዲስ ነቃጥበብ የሙዚቃ ስልት ምን ተብሎ ይጠራል	answer ( A , ሙዚቃ_ስልት ( ፍቅርአዲስ_ነቃጥበብ , A ) )
የኢትዮጵያ የሴቶች ብሄራዊ ቡድን አማካይ ስንት ናቸው	answer ( count ( A ) , ተጨዋች ( ኢትዮጵያ_ሴቶች_ብሄራዊ_ቡድን , A ) , ጨዋታ_ቦታ ( A , አማካይ ) )
ከዳይሬክተሮች መካከል ብዙ ፊልም ዳይሬክተር በማድረግ ሰማኝገታ አይችሉህም የሚበልጥው ማነው	answer ( C , ፊልም ( ሰማኝገታ_አይችሉህም , A ) , ዳይሬክተር ( C ) , ፊልም ( C , B ) , ይበልጣል ( count ( A ) , count ( B ) ) )
አለማየሁ ገላጋይ የጻፈው ደርቶጋዳ የሚባለው መጸሃፍ በውስጡ ስንት ገጾች አሉት	answer ( A , ደራሲ ( አለማየሁ_ገላጋይ ) , ድርሰት ( አለማየሁ_ገላጋይ , ደርቶጋዳ ) , ገጾች ( ደርቶጋዳ , A ) )
ታስጨርሺኛለሽ የሚለው ፊልም መቸ ነው የተለቀቀው	answer ( A , ፊልም ( ታስጨርሺኛለሽ ) , የተለቀቀበት_ጊዜ ( ታስጨርሺኛለሽ , A ) )
አሊ ቢራ ኦርጋን የሚባለውን የሙዚቃ መሳሪያ ይጫወታል	answer ( ? , ዘፋኝ ( አሊ_ቢራ ) , ሙዚቃ_መሳሪያ ( ኦርጋን ) , ተጨዋች ( አሊ_ቢራ , ኦርጋን ) )
መታሰቢያ ታደሰ ምን ምን ፊልሞችን ሰርቷል	answer ( A , ተዋናይ ( መታሰቢያ_ታደሰ ) , ፊልም ( መታሰቢያ_ታደሰ , A ) )
የበቀል መንገድ የሚለው ፊልም ላይ እመቤት ወልደገብርኤል ተውናለች	answer ( ? , ተዋናይ ( እመቤት_ወልደገብርኤል ) , ፊልም ( እመቤት_ወልደገብርኤል , የበቀል_መንገድ ) )
ደደቢት እግርኳስ ክለብ ዋንጫ በልቶ ያውቃል	answer ( ? , ዋንጫ_ብዛት ( ደደቢት_እግርኳስ_ክለብ , A ) )
የበቀል መንገድ የሚለው ፊልም ላይ ማርታ ጎይቶም ተውናለች	answer ( ? , ተዋናይ ( ማርታ_ጎይቶም ) , ፊልም ( ማርታ_ጎይቶም , የበቀል_መንገድ ) )
ይስማዕከ ወርቁ ስንት መጻህፎችን ደርሰዋል	answer ( count ( A ) , ደራሲ ( ይስማዕከ_ወርቁ ) , ድርሰት ( ይስማዕከ_ወርቁ , A ) )
ከዳይሬክተሮች መካከል ብዙ ፊልም ዳይሬክተር በማድረግ ያምሮት ንጉሴ የሚበልጥው ማነው	answer ( C , ፊልም ( ያምሮት_ንጉሴ , A ) , ዳይሬክተር ( C ) , ፊልም ( C , B ) , ይበልጣል ( count ( A ) , count ( B ) ) )
ቤንሻንጉል ጉሙዝ ክልል ውስጥ አፋርኛ ይነገራል	answer ( ? , የሚነገር_ቋንቋ ( ጋምቤላ_ክልል , አፋርኛ ) )
መሀል ቤት የሚለውን ፊልም የደረሰው ማነው	answer ( A , ደራሲ ( A ) , ፊልም ( A , መሀል_ቤት ) )
ከኢትዮጵያ ወንድ እሯጮች በቁመት ረዥም ማነው	answer ( A , argmax ( ( ሀገር ( A , ኢትዮጵያ ) , ጾታ ( A , ወንድ ) , እሯጭ ( A ) , ቁመት ( A , B )) , B ) )
ኢትዮጵያ ውስጥ የሚገኙ ሴት ሙሾ በከንቱችን ዘርዝር	answer ( A , ደራሲ ( A ) , ትውልድ_ሀገር ( A , ኢትዮጵያ ) , ጾታ ( A , ሴት ) )
ወጋየሁ ደግነቱ ስንት አልበሞችን ሰራ	answer ( count ( A ) , አልበም_ስም ( ወጋየሁ_ደግነቱ , A ) )
ትግስት አፈወርቅ የሚጫወታችውን የሙዚቃ መሳሪያወችን ተናገር	answer ( A , ዘፋኝ ( ትግስት_አፈወርቅ ) , ሙዚቃ_መሳሪያ ( A ) , ተጨዋች ( ትግስት_አፈወርቅ , A ) )
የአቦነሽ አድነው ዘፋኝ እህት ማን ትባላለች	answer ( A , ዘፋኝ ( A ) , እህት ( አቦነሽ_አድነው , A ) )
ያቤፅ ሮማንቲክ ፊልም አይነት ነው	answer ( ? , ፊልም ( A ) , ፊልም_አይነት ( ያቤፅ , ሮማንቲክ ) )
ማልዳ የሚለው ፊልም ላይ የተወኑት እነማናቸው	answer ( A , ተዋናይ ( A ) , ፊልም ( A , ማልዳ ) )
የሴት ፍቅር የሚለውን ፊልም ፕሮድዩስ ያደረገው ማነው	answer ( A , ፕሮድዩሰር ( A ) , ፊልም ( A , የሴት_ፍቅር ) )
ከታያት የሚለው ፊልም መቸ ነው የተለቀቀው	answer ( A , ፊልም ( ከታያት ) , የተለቀቀበት_ጊዜ ( ከታያት , A ) )
አጥፍቶ ጠፊ ሮማንቲክ ፊልም አይነት ነው	answer ( ? , ፊልም ( A ) , ፊልም_አይነት ( አጥፍቶ_ጠፊ , ሮማንቲክ ) )
ሁለት ባል በሃኖስ ፊልም ፕሮዳክሽን ነው የተዘጋጀው	answer ( ? , ፊልም ( ሁለት_ባል ) , ፕሮዳክሽን ( ሁለት_ባል , ሃኖስ_ፊልም_ፕሮዳክሽን ) )
አርቲስት ቻላቸው አሸናፊ መች ተወለደ	answer ( A , ዘፋኝ ( ቻላቸው_አሸናፊ ) , የተወለደበት_ጊዜ ( ቻላቸው_አሸናፊ , A ) )
ላንተ ስል የሚለው ፊልም ላይ ስንት ተዋናዮች ተሳትፈዋል	answer ( count ( A ) , ተዋናይ ( A ) , ፊልም ( A , ላንተ_ስል ) )
ደረሲ ፍስሃ በላይ ይማም የት ነው የተወለዱት	answer ( A , ደራሲ ( ፍስሃ_በላይ_ይማም ) , ትውልድ_ቦታ ( ፍስሃ_በላይ_ይማም , A ) )
አንድ ሙሽራ የሚለው ፊልም መቸ ነው የተለቀቀው	answer ( A , ፊልም ( አንድ_ሙሽራ ) , የተለቀቀበት_ጊዜ ( አንድ_ሙሽራ , A ) )
ዳዊት ጽጌ አልበም ሰርቷል	answer ( ? , ዘፋኝ ( ዳዊት_ጽጌ ) , አልበም_ስም ( ዳዊት_ጽጌ , A ) )
እኛ የዘጠናዎቹ ሮማንቲክ ፊልም አይነት ነው	answer ( ? , ፊልም ( A ) , ፊልም_አይነት ( እኛ_የዘጠናዎቹ , ሮማንቲክ ) )
ኢትዮጵያ ውስጥ የሚገኙ ሴት ጎበዝ አየንችን ዘርዝር	answer ( A , ደራሲ ( A ) , ትውልድ_ሀገር ( A , ኢትዮጵያ ) , ጾታ ( A , ሴት ) )
ቶማስ በየነ የተወነባቸው ፊልሞችን ጥቀስ	answer ( A , ተዋናይ ( ቶማስ_በየነ ) , ፊልም ( ቶማስ_በየነ , A ) )
አንፋታም ሮማንቲክ ፊልም አይነት ነው	answer ( ? , ፊልም ( A ) , ፊልም_አይነት ( አንፋታም , ሮማንቲክ ) )
ጅጅጋ የአፋር ክልል ዋና ከተማ ነው	answer ( ? , ዋና_ከተማ ( አፋር_ክልል , ጅጅጋ ) )
ታምራት ሞላ ስንት አልበሞችን ሰራ	answer ( count ( A ) , አልበም_ስም ( ታምራት_ሞላ , A ) )
የበቀል መንገድ የሚለው ፊልም ላይ ጸጋየ ዘርፉ ተውናለች	answer ( ? , ተዋናይ ( ጸጋየ_ዘርፉ ) , ፊልም ( ጸጋየ_ዘርፉ , የበቀል_መንገድ ) )
ውለህ ግባ ሮማንቲክ ፊልም አይነት ነው	answer ( ? , ፊልም ( A ) , ፊልም_አይነት ( ውለህ_ግባ , ሮማንቲክ ) )
ጋቶች ፓኖም የሚጫወተው መሀከል ተከላካይ ቦታ ላይ ነው	answer ( ? , እግርኳስ_ተጨዋች ( ጋቶች_ፓኖም ) , ጨዋታ_ቦታ ( ጋቶች_ፓኖም , መሀከል_ተከላካይ ) )
የበቀል መንገድ በፎንተኒና ፊልም ፕሮዳክሽን ነው የተዘጋጀው	answer ( ? , ፊልም ( የበቀል_መንገድ ) , ፕሮዳክሽን ( የበቀል_መንገድ , ፎንተኒና_ፊልም_ፕሮዳክሽን ) )
ሰላም ነው የሚለው ፊልም መቸ ነው የተለቀቀው	answer ( A , ፊልም ( ሰላም_ነው ) , የተለቀቀበት_ጊዜ ( ሰላም_ነው , A ) )
አው ባድር ስንት የግጥም መድብሎችን አሳትሟል	answer ( count ( A ) , ደራሲ ( እውቀቱ_ስዩም ) , ድርሰት ( እውቀቱ_ስዩም , A ) , መጸሃፍ_አይነት ( A , ግጥም_መጸሃፍ ) )
የአሉላ ዮሐንስ የትውልድ ቦታ የት ነው	answer ( A , ዘፋኝ ( አሊ_ቢራ ) , የተውለድ_ቦታ ( አሉላ_ዮሐንስ , A ) )
ነጻነት የሚለውን ፊልም ፕሮድዩስ ያደረገው ማነው	answer ( A , ፕሮድዩሰር ( A ) , ፊልም ( A , ነጻነት ) )
የፍቅር ማህተም የሚለው ፊልም ላይ የተወኑት እነማናቸው	answer ( A , ተዋናይ ( A ) , ፊልም ( A , የፍቅር_ማህተም ) )
እንዳትረሳው የሚለው ፊልም ላይ ስንት ተዋናዮች ተሳትፈዋል	answer ( count ( A ) , ተዋናይ ( A ) , ፊልም ( A , እንዳትረሳው ) )
ራሄል ይልቃል የተወነባቸው ፊልሞችን ስንት ናቸው	answer ( count ( A ) , ተዋናይ ( ራሄል_ይልቃል ) , ፊልም ( ራሄል_ይልቃል , A ) )
ለልጅ እዳ የሚለው ፊልም ላይ የተወኑት እነማናቸው	answer ( A , ተዋናይ ( A ) , ፊልም ( A , ለልጅ_እዳ ) )
ድሬዳዋ ከተማ እግርኳስ ክለብ በ2005 ነው የተመሰረተው	answer ( ? , ምስረታ_ቀን ( ድሬዳዋ_ከተማ_ክለብ , 2005 ) )
ጸሃፊ ተስፋዬ አበበ መቸ ሞቱ	answer ( A , ደራሲ ( ተስፋዬ_አበበ ) , የሞተበት_ጊዜ ( ተስፋዬ_አበበ , A ) )
ግሩም ዘነበ የተወነባቸው ፊልሞችን ስንት ናቸው	answer ( count ( A ) , ተዋናይ ( ግሩም_ዘነበ ) , ፊልም ( ግሩም_ዘነበ , A ) )
የበቀል መንገድ የሚለው ፊልም ላይ አብርሃም ቀናው ተውናለች	answer ( ? , ተዋናይ ( አብርሃም_ቀናው ) , ፊልም ( አብርሃም_ቀናው , የበቀል_መንገድ ) )
ከፍቅር በላይ የሚለው ፊልም ላይ የተወኑት እነማናቸው	answer ( A , ተዋናይ ( A ) , ፊልም ( A , ከፍቅር_በላይ ) )
አደረች አራዳ የሚለውን ፊልም ዳይሬክት ያደረገው ማነው	answer ( A , ዳይሬክተር ( A ) , ፊልም ( A , አደረች_አራዳ ) )
በ1935 16ኛ ደረጃ የወጣው እግርኳስ ቡድን ማነው	answer ( A , ደረጃ_1935 ( A , 16ኛ ) , ፉትቦል_ክለብ ( A ) )
ባላደራው የሚለውን ፊልም ዳይሬክት ያደረገው ማነው	answer ( A , ዳይሬክተር ( A ) , ፊልም ( A , ባላደራው ) )
ኦሮማይ የሚባለው የጳውሎስ ኞኞ መጸሃፍ መቸ ነው የታተመው	answer ( A , ደራሲ ( ጳውሎስ_ኞኞ ) , ድርሰት ( ጳውሎስ_ኞኞ , ኦሮማይ ) , የታተመባት_ጊዜ ( ኦሮማይ , A ) )
ውልብታ የሚባለው የፍቅር መጸሃፍ ዋና አከፋፋዮቹ እነማን ናቸው	answer ( A , መጸሃፍ_አይነት ( ውልብታ , ፍቅር_መጸሃፍ ) , ዋና_ማከፋፋያ ( ውልብታ , A ) )
ኪዲስያሬድ ተራራ በከፍታ አንኴ ተራራን ይበልጣል	answer ( ? , ከፍታ ( ኪዲስያሬድ_ተራራ , A ) , ከፍታ ( አንኴ_ተራራ , B ) , ይበልጣል ( A , B ) )
ብርቱካን በፍቃዱ የተወነባቸው ፊልሞችን ጥቀስ	answer ( A , ተዋናይ ( ብርቱካን_በፍቃዱ ) , ፊልም ( ብርቱካን_በፍቃዱ , A ) )
ዘራፍ በሃኖስ ፊልም ፕሮዳክሽን ነው የተዘጋጀው	answer ( ? , ፊልም ( ዘራፍ ) , ፕሮዳክሽን ( ዘራፍ , ሃኖስ_ፊልም_ፕሮዳክሽን ) )
የበቀል መንገድ የሚለው ፊልም ላይ ጌታሁን ሰለሞን ተውናለች	answer ( ? , ተዋናይ ( ጌታሁን_ሰለሞን ) , ፊልም ( ጌታሁን_ሰለሞን , የበቀል_መንገድ ) )
የጣና ሞገዶቹ የባህርዳር ከነማ እግርኳስ ክለብ ቅጽል ስም ነው	answer ( ? , ቅጽል_ስም ( ባህርዳር_ከነማ , የጣና_ሞገዶቹ ) , ፉትቦል_ክለብ ( ባህርዳር_ከነማ ) )
ወደ ኋላ በሃኖስ ፊልም ፕሮዳክሽን ነው የተዘጋጀው	answer ( ? , ፊልም ( ወደ_ኋላ ) , ፕሮዳክሽን ( ወደ_ኋላ , ሃኖስ_ፊልም_ፕሮዳክሽን ) )
ዝጓራ አጭር ልብወለድ ድርሰት መቸ ታተመ	answer ( A , መጸሃፍ_አይነት ( ኅሊና_ደወል , አጭር_ልብወለድ ) , የታተመባት_ጊዜ ( ኅሊና_ደወል , A ) )
ወሳኝነህ ሃይሉ ያልተከፈለ የሚለው ፊልም ላይ ተውኗል	answer ( ? , ተዋናይ ( ወሳኝነህ_ሃይሉ ) , ፊልም ( ወሳኝነህ_ሃይሉ , ያልተከፈለ ) )
ዮሓንስ ጎዳና መቸ ተወለደ	answer ( A , ደራሲ ( ዮሓንስ_ጎዳና ) , የተወለደበት_ጊዜ ( ዮሓንስ_ጎዳና , A ) )
ጅጅጋ የትግራይ ክልል ዋና ከተማ ነው	answer ( ? , ዋና_ከተማ ( ትግራይ_ክልል , ጅጅጋ ) )
